void_id,cx_mpc,cy_mpc,cz_mpc,R_void_mpc,n_members
1049,49.68128,110.355,83.77412,10.276957541044089,3
1055,53.29472,7.248187,115.6827,9.361440927280402,3
1057,119.1377,4.070322,125.41,17.2291848380753,6
1060,199.9422,27.04915,106.3862,10.007696798829754,3
1061,90.97241,29.738169999999997,108.56569999999999,8.172319489249887,3
1063,189.193,51.564949999999996,139.1085,14.01539221767047,5
1066,158.6636,136.946,13.22599,8.188547888543328,3
1069,81.32206,151.38879999999997,178.9444,8.382986477990581,2
1073,176.1646,17.82059,193.8936,7.026291524317408,2
1074,80.70022,76.14063,195.87879999999998,7.874064185468481,2
1081,100.999,188.6926,146.62560000000002,7.979357940093955,2
1084,70.89949,10.17674,152.5769,14.132862014560757,4
1085,181.1396,67.50061,152.6238,15.739343956365085,6
1088,85.99428999999999,111.3092,88.04694,7.911241982503545,2
1089,109.2675,74.32764999999999,2.877351,11.696786000261227,4
1090,63.126580000000004,199.2761,96.78819,10.642411324181623,3
1093,70.76733999999999,138.7662,180.0784,10.693123576149254,3
1094,127.2466,162.50629999999998,180.577,7.852327449379829,2
1095,134.52439999999999,176.10629999999998,183.93970000000002,11.422095433221845,4
1096,13.24324,27.79393,134.9597,11.748213337874814,3
1097,152.95420000000001,110.4817,137.32029999999997,15.629919999999991,1
1102,73.76504,126.1099,14.36942,16.53616908723795,5
1104,67.35879,82.06694999999999,18.373330000000003,15.442641876523357,4
1106,108.8977,156.1436,50.633199999999995,9.274243290907542,2
1112,161.52020000000002,26.01082,114.7957,9.71705329389021,2
1113,10.50332,83.66851,39.19364,8.108513969208502,2
1115,2.833087,190.3525,43.67067,8.33920238508688,3
1117,11.61375,108.4735,198.5019,6.868599940771575,2
1119,84.97909,35.84833999999999,188.4421,15.258713505580209,5
1120,189.4364,81.3369,188.6795,11.738799434276077,4
1121,176.0754,114.97030000000001,191.91920000000002,7.195035157174303,2
1123,59.97118,180.1327,28.560080000000003,9.939212808095602,3
1124,127.4542,43.253569999999996,89.69781,7.963812240236888,3
1125,116.1519,162.3085,93.87462,15.090419999999993,1
1127,197.5457,6.951366,131.4186,9.98004796122192,3
1128,166.96620000000001,20.914830000000002,81.09862,7.9526370570079665,2
1130,154.58360000000002,95.14017999999999,82.17255,7.810414055654723,2
1133,20.92924,100.91080000000001,204.61270000000002,8.906494724685443,3
1136,176.5756,135.4265,20.23925,14.430051292653955,4
1138,21.26347,38.478660000000005,118.085,9.001043035872856,3
1139,184.28029999999998,115.02080000000001,118.59819999999999,15.678142648693912,5
1142,100.999,142.2473,123.40289999999999,7.135564423510532,2
1143,67.93127,8.690147999999999,125.61630000000001,7.948972993386392,2
1144,124.74680000000001,57.35087,179.59879999999998,10.93677198310982,3
1145,163.4352,83.73038000000001,38.34903,13.846489999999992,1
1146,19.64949,10.17674,60.48708,10.856599531523639,3
1148,129.86960000000002,195.1435,174.5315,9.237547696530308,3
1149,90.66443,33.95105,46.95939,8.310607485074947,3
1150,177.58970000000002,37.968,47.60517,10.204147950566256,3
1154,48.886269999999996,22.171770000000002,185.9645,11.849958022466069,4
1156,138.5279,32.23465,76.97957000000001,10.516778020474371,2
1157,61.69858,102.8926,159.1803,6.653306127176967,2
1160,57.48667,136.3554,167.7929,9.96743249140087,3
1162,23.615029999999997,74.45238,168.9475,9.605297323484278,2
1164,6.849872,166.0499,170.8434,8.335246644326235,2
1165,108.5752,53.32,172.3425,7.001183066941634,2
1168,88.19487,108.11789999999999,9.222082,8.149115182489336,3
1170,168.6721,146.7679,115.4678,14.629276665872773,4
1173,190.0838,157.98489999999998,127.2268,12.320437543484548,3
1176,47.25107,28.0012,106.8906,8.15122561509658,3
1181,193.0267,23.61527,46.27011,8.082956630443148,2
1186,189.3175,8.372598,51.354589999999995,9.315677583935432,3
